,,Accuracy,MACC
AAPL,StockRNN,0.6101694915254238,0.2817760491910941
AAPL,StockLSTM,0.559322033898305,0.22209546871910038
AAPL,StockSentimentRNN,0.6101694915254238,0.2817760491910941
ABB,StockRNN,0.5254237288135594,0.033104420640618
ABB,StockLSTM,0.5423728813559322,0.10640706634484356
ABB,StockSentimentRNN,0.559322033898305,0.08872499094368706
ABBV,StockRNN,0.6101694915254238,0.32017686911022714
ABBV,StockLSTM,0.5254237288135594,0.009536938157772432
ABBV,StockSentimentRNN,0.576271186440678,0.14665306648804763
AEP,StockRNN,0.5254237288135594,-0.056360383420892037
AEP,StockLSTM,0.6101694915254238,0.15856758231403903
AEP,StockSentimentRNN,0.5254237288135594,-0.009883324222148016
AGFS,StockRNN,0.423728813559322,0.03897635904334208
AGFS,StockLSTM,0.3728813559322034,-0.16427570345801806
AGFS,StockSentimentRNN,0.4067796610169492,0.10495392165373377
AMGN,StockRNN,0.5932203389830508,0.14497268073652808
AMGN,StockLSTM,0.559322033898305,0.0
AMGN,StockSentimentRNN,0.576271186440678,0.14401945727899898
AMZN,StockRNN,0.4576271186440678,0.0
AMZN,StockLSTM,0.5423728813559322,0.0
AMZN,StockSentimentRNN,0.4745762711864407,0.12061266016925193
BA,StockRNN,0.5084745762711864,0.039981762480353844
BA,StockLSTM,0.4915254237288136,0.12479126063921447
BA,StockSentimentRNN,0.5423728813559322,0.11369813705350625
BABA,StockRNN,0.5084745762711864,0.02459594839716409
BABA,StockLSTM,0.4067796610169492,-0.19307819491773812
BABA,StockSentimentRNN,0.5932203389830508,0.18620689655172415
BAC,StockRNN,0.6949152542372882,0.37529411764705883
BAC,StockLSTM,0.6779661016949152,0.37457492247749263
BAC,StockSentimentRNN,0.6949152542372882,0.3654732431170147
BBL,StockRNN,0.4576271186440678,0.14712563207588333
BBL,StockLSTM,0.3559322033898305,0.0
BBL,StockSentimentRNN,0.5254237288135594,0.2482223868704768
BCH,StockRNN,0.5084745762711864,-0.05381731373958908
BCH,StockLSTM,0.576271186440678,-0.10873205644391247
BCH,StockSentimentRNN,0.576271186440678,0.016276168399558928
BHP,StockRNN,0.4915254237288136,0.13063593209085606
BHP,StockLSTM,0.4915254237288136,0.10723174101568517
BHP,StockSentimentRNN,0.5423728813559322,0.2821245580908187
BP,StockRNN,0.559322033898305,0.040159701353491326
BP,StockLSTM,0.559322033898305,-0.01815352113366246
BP,StockSentimentRNN,0.576271186440678,0.06865540939999579
BRK-A,StockRNN,0.4576271186440678,-0.10023310023310024
BRK-A,StockLSTM,0.4067796610169492,-0.14689595494233862
BRK-A,StockSentimentRNN,0.3898305084745763,-0.1957807216292501
BSAC,StockRNN,0.5423728813559322,0.21856831619321546
BSAC,StockLSTM,0.4406779661016949,0.08606978946185856
BSAC,StockSentimentRNN,0.4745762711864407,0.16446205882528594
BUD,StockRNN,0.576271186440678,0.16023748270444452
BUD,StockLSTM,0.559322033898305,0.12153070824106603
BUD,StockSentimentRNN,0.5254237288135594,0.05178369366513287
C,StockRNN,0.559322033898305,0.13733756639338393
C,StockLSTM,0.6101694915254238,0.1771034060146992
C,StockSentimentRNN,0.5084745762711864,0.040049364588612434
CAT,StockRNN,0.5254237288135594,0.01713046243508091
CAT,StockLSTM,0.5423728813559322,0.12163926069210197
CAT,StockSentimentRNN,0.5254237288135594,0.03373461209279856
CELG,StockRNN,0.559322033898305,0.13869195372681675
CELG,StockLSTM,0.576271186440678,0.1883854882643554
CELG,StockSentimentRNN,0.5423728813559322,0.1394308478691608
CHL,StockRNN,0.4915254237288136,0.03380205052267014
CHL,StockLSTM,0.4915254237288136,0.04544445884145159
CHL,StockSentimentRNN,0.5423728813559322,0.12163926069210197
CHTR,StockRNN,0.576271186440678,0.17636242754667492
CHTR,StockLSTM,0.4915254237288136,0.0
CHTR,StockSentimentRNN,0.5254237288135594,0.07023821120100268
CMCSA,StockRNN,0.4745762711864407,-0.04398148148148148
CMCSA,StockLSTM,0.5423728813559322,0.06558335288909965
CMCSA,StockSentimentRNN,0.4576271186440678,-0.0808316243399136
CODI,StockRNN,0.5423728813559322,0.005466133744605251
CODI,StockLSTM,0.4745762711864407,-0.15578481172124967
CODI,StockSentimentRNN,0.5423728813559322,-0.007221393146897689
CSCO,StockRNN,0.4576271186440678,-0.08400465861232666
CSCO,StockLSTM,0.576271186440678,0.16512757650988816
CSCO,StockSentimentRNN,0.4745762711864407,-0.04519195200678428
CVX,StockRNN,0.559322033898305,0.022382158682236544
CVX,StockLSTM,0.5932203389830508,0.16802266772069924
CVX,StockSentimentRNN,0.5932203389830508,0.15315556545621234
D,StockRNN,0.5254237288135594,0.051640621068495596
D,StockLSTM,0.5084745762711864,0.010340371489689049
D,StockSentimentRNN,0.4576271186440678,-0.1510457839507995
DHR,StockRNN,0.4915254237288136,-0.005703586973049607
DHR,StockLSTM,0.6101694915254238,0.2422700917120663
DHR,StockSentimentRNN,0.5084745762711864,0.07323922906700686
DIS,StockRNN,0.5932203389830508,0.14519049231613776
DIS,StockLSTM,0.559322033898305,0.04020333593225574
DIS,StockSentimentRNN,0.576271186440678,0.09817025841567108
DUK,StockRNN,0.4745762711864407,-0.06808187051979717
DUK,StockLSTM,0.5254237288135594,-0.16446205882528594
DUK,StockSentimentRNN,0.4576271186440678,-0.0960316402397931
EXC,StockRNN,0.4915254237288136,-0.02459594839716409
EXC,StockLSTM,0.5254237288135594,0.1335511498692213
EXC,StockSentimentRNN,0.5423728813559322,0.08650570818097914
FB,StockRNN,0.4406779661016949,0.0
FB,StockLSTM,0.5084745762711864,0.1521138589340319
FB,StockSentimentRNN,0.4406779661016949,0.0
GD,StockRNN,0.559322033898305,0.07288701489582294
GD,StockLSTM,0.5254237288135594,0.037296037296037296
GD,StockSentimentRNN,0.5254237288135594,0.005026760184377686
GE,StockRNN,0.4406779661016949,0.0
GE,StockLSTM,0.576271186440678,0.168997668997669
GE,StockSentimentRNN,0.4406779661016949,0.0
GOOG,StockRNN,0.559322033898305,0.148744923836035
GOOG,StockLSTM,0.5254237288135594,0.009536938157772432
GOOG,StockSentimentRNN,0.6271186440677966,0.2677534361450448
HD,StockRNN,0.6271186440677966,0.22219801824057703
HD,StockLSTM,0.576271186440678,0.0
HD,StockSentimentRNN,0.5423728813559322,0.03807193318615329
HON,StockRNN,0.5084745762711864,0.013071362426621866
HON,StockLSTM,0.4406779661016949,-0.12714870724077634
HON,StockSentimentRNN,0.5084745762711864,0.016110482473596893
HRG,StockRNN,0.6101694915254238,0.22350230414746544
HRG,StockLSTM,0.4745762711864407,-0.21997067253202995
HRG,StockSentimentRNN,0.5932203389830508,0.18192657602731108
HSBC,StockRNN,0.5254237288135594,0.02300029236112992
HSBC,StockLSTM,0.6101694915254238,0.29074236753123556
HSBC,StockSentimentRNN,0.576271186440678,0.24353895887474744
IEP,StockRNN,0.6271186440677966,0.3038218101251
IEP,StockLSTM,0.5254237288135594,0.07025838192242885
IEP,StockSentimentRNN,0.6101694915254238,0.22023195764643658
INTC,StockRNN,0.4576271186440678,-0.08837806794588346
INTC,StockLSTM,0.4576271186440678,-0.11787413077635855
INTC,StockSentimentRNN,0.4406779661016949,-0.1174498008228188
JNJ,StockRNN,0.4915254237288136,-0.043355498476206
JNJ,StockLSTM,0.5084745762711864,-0.05225453721073499
JNJ,StockSentimentRNN,0.4915254237288136,-0.030339401820606876
JPM,StockRNN,0.4915254237288136,0.013880002534377654
JPM,StockLSTM,0.5254237288135594,0.0871991206145148
JPM,StockSentimentRNN,0.5084745762711864,0.03524445781520742
KO,StockRNN,0.4915254237288136,-0.07323922906700686
KO,StockLSTM,0.5254237288135594,0.1335511498692213
KO,StockSentimentRNN,0.5423728813559322,0.10574280865453736
LMT,StockRNN,0.4406779661016949,-0.1174498008228188
LMT,StockLSTM,0.4576271186440678,-0.17744221203584956
LMT,StockSentimentRNN,0.423728813559322,-0.15207018804111255
MA,StockRNN,0.6610169491525424,0.3569260336570659
MA,StockLSTM,0.559322033898305,0.14218010798322445
MA,StockSentimentRNN,0.559322033898305,0.17306959490952975
MCD,StockRNN,0.423728813559322,0.0
MCD,StockLSTM,0.423728813559322,0.0
MCD,StockSentimentRNN,0.4576271186440678,0.1606231415508089
MDT,StockRNN,0.5084745762711864,0.0085654872326904
MDT,StockLSTM,0.4915254237288136,-0.05570860145311556
MDT,StockSentimentRNN,0.4576271186440678,-0.10150355542254672
MMM,StockRNN,0.4745762711864407,-0.10116808103426217
MMM,StockLSTM,0.4745762711864407,-0.09141928240378133
MMM,StockSentimentRNN,0.4576271186440678,-0.14566789557918772
MO,StockRNN,0.4406779661016949,-0.18775861971235244
MO,StockLSTM,0.4915254237288136,0.0
MO,StockSentimentRNN,0.4745762711864407,-0.10646695683025933
MRK,StockRNN,0.576271186440678,0.1770200694756016
MRK,StockLSTM,0.576271186440678,0.23004467457966749
MRK,StockSentimentRNN,0.5932203389830508,0.24292807275259465
MSFT,StockRNN,0.4406779661016949,-0.14294833797837264
MSFT,StockLSTM,0.4745762711864407,0.12061266016925193
MSFT,StockSentimentRNN,0.4067796610169492,-0.25197631533948484
NEE,StockRNN,0.5254237288135594,-0.16446205882528594
NEE,StockLSTM,0.5423728813559322,-0.191662969499982
NEE,StockSentimentRNN,0.559322033898305,0.024743582965269673
NGG,StockRNN,0.4745762711864407,-0.051640621068495596
NGG,StockLSTM,0.5254237288135594,0.09231515041269134
NGG,StockSentimentRNN,0.4067796610169492,-0.193012161744489
NVS,StockRNN,0.4067796610169492,-0.06384997577922866
NVS,StockLSTM,0.3389830508474576,-0.3256694736394648
NVS,StockSentimentRNN,0.423728813559322,0.10873205644391247
ORCL,StockRNN,0.4406779661016949,-0.08339503888294594
ORCL,StockLSTM,0.5423728813559322,0.08650570818097914
ORCL,StockSentimentRNN,0.3898305084745763,-0.2073787655015633
PCG,StockRNN,0.4745762711864407,0.0039046615122762295
PCG,StockLSTM,0.576271186440678,0.1479300142792815
PCG,StockSentimentRNN,0.559322033898305,0.09213717213621486
PCLN,StockRNN,0.4915254237288136,0.12479126063921447
PCLN,StockLSTM,0.4745762711864407,0.0
PCLN,StockSentimentRNN,0.5932203389830508,0.28065758061915974
PEP,StockRNN,0.559322033898305,0.0
PEP,StockLSTM,0.5932203389830508,0.21103178186108743
PEP,StockSentimentRNN,0.559322033898305,0.0
PFE,StockRNN,0.4915254237288136,-0.040049364588612434
PFE,StockLSTM,0.576271186440678,0.10896781451996423
PFE,StockSentimentRNN,0.4915254237288136,-0.006968683416725757
PG,StockRNN,0.4067796610169492,-0.16685595311797866
PG,StockLSTM,0.5254237288135594,0.06808187051979717
PG,StockSentimentRNN,0.5254237288135594,0.0828332573789972
PICO,StockRNN,0.559322033898305,0.10818320652325043
PICO,StockLSTM,0.5084745762711864,-0.04544445884145159
PICO,StockSentimentRNN,0.5084745762711864,0.002403082536616032
PM,StockRNN,0.5084745762711864,0.10584754935143138
PM,StockLSTM,0.4576271186440678,0.0
PM,StockSentimentRNN,0.4745762711864407,0.03519736631249669
PPL,StockRNN,0.559322033898305,0.12714870724077634
PPL,StockLSTM,0.4915254237288136,0.0
PPL,StockSentimentRNN,0.559322033898305,0.13603125058958104
PTR,StockRNN,0.4745762711864407,0.05239477363283321
PTR,StockLSTM,0.4406779661016949,0.0
PTR,StockSentimentRNN,0.4915254237288136,0.09173286442120084
RDS-B,StockRNN,0.4067796610169492,-0.1463300512966626
RDS-B,StockLSTM,0.4067796610169492,-0.10584754935143138
RDS-B,StockSentimentRNN,0.4067796610169492,-0.1358957080545352
REX,StockRNN,0.5423728813559322,0.08305371808399224
REX,StockLSTM,0.5254237288135594,0.048006375670061587
REX,StockSentimentRNN,0.5423728813559322,0.08305371808399224
SLB,StockRNN,0.3728813559322034,-0.2264703677120213
SLB,StockLSTM,0.4406779661016949,-0.03222352531629848
SLB,StockSentimentRNN,0.4406779661016949,-0.13008209044554747
SNP,StockRNN,0.5084745762711864,0.009455143815519592
SNP,StockLSTM,0.4745762711864407,-0.08270582411605847
SNP,StockSentimentRNN,0.4915254237288136,-0.12909944487358058
SNY,StockRNN,0.4067796610169492,-0.12343053667320328
SNY,StockLSTM,0.3898305084745763,-0.17806145667420892
SNY,StockSentimentRNN,0.4406779661016949,-0.06033082847700966
SO,StockRNN,0.4745762711864407,-0.13730476750355963
SO,StockLSTM,0.4915254237288136,-0.14628495133650038
SO,StockSentimentRNN,0.4745762711864407,-0.13730476750355963
SPLP,StockRNN,0.5423728813559322,0.15869860025533672
SPLP,StockLSTM,0.6101694915254238,0.13779198349559355
SPLP,StockSentimentRNN,0.5084745762711864,0.10462997651610892
SRE,StockRNN,0.4406779661016949,-0.047324311668365475
SRE,StockLSTM,0.4406779661016949,0.0
SRE,StockSentimentRNN,0.4576271186440678,0.024931919733558856
T,StockRNN,0.4067796610169492,-0.16783218203174283
T,StockLSTM,0.4745762711864407,0.011226255234242723
T,StockSentimentRNN,0.4745762711864407,0.021398024625545645
TM,StockRNN,0.5423728813559322,0.17812132666201708
TM,StockLSTM,0.4745762711864407,-0.020164678490039667
TM,StockSentimentRNN,0.5084745762711864,0.06746752425931443
TOT,StockRNN,0.7457627118644068,0.4352176632610566
TOT,StockLSTM,0.576271186440678,0.13593640417013383
TOT,StockSentimentRNN,0.7457627118644068,0.443717368159232
TSM,StockRNN,0.6101694915254238,0.296564709564789
TSM,StockLSTM,0.576271186440678,0.22854417370803312
TSM,StockSentimentRNN,0.5423728813559322,0.17744221203584956
UL,StockRNN,0.4067796610169492,-0.18605909041238622
UL,StockLSTM,0.5084745762711864,0.0
UL,StockSentimentRNN,0.4915254237288136,-0.016110482473596893
UN,StockRNN,0.559322033898305,0.15497115227072963
UN,StockLSTM,0.6610169491525424,0.3233603982200519
UN,StockSentimentRNN,0.5932203389830508,0.2102697219539028
UNH,StockRNN,0.4406779661016949,-0.12355691149101079
UNH,StockLSTM,0.5084745762711864,0.051387023098543955
UNH,StockSentimentRNN,0.4406779661016949,-0.11967786980386264
UPS,StockRNN,0.5423728813559322,0.08660061122614579
UPS,StockLSTM,0.576271186440678,0.16971204394043224
UPS,StockSentimentRNN,0.5084745762711864,0.006713829120923007
UTX,StockRNN,0.4406779661016949,-0.07288701489582294
UTX,StockLSTM,0.423728813559322,-0.09817025841567108
UTX,StockSentimentRNN,0.4745762711864407,0.0039046615122762295
V,StockRNN,0.559322033898305,0.1913441299463057
V,StockLSTM,0.4745762711864407,-0.10646695683025933
V,StockSentimentRNN,0.5423728813559322,0.10150355542254672
VZ,StockRNN,0.576271186440678,0.1761264737760181
VZ,StockLSTM,0.6101694915254238,0.23179604232410683
VZ,StockSentimentRNN,0.576271186440678,0.1448091094988785
WFC,StockRNN,0.559322033898305,0.12355691149101079
WFC,StockLSTM,0.5932203389830508,0.18035210484058706
WFC,StockSentimentRNN,0.5254237288135594,0.06369696339435807
WMT,StockRNN,0.5423728813559322,0.0960316402397931
WMT,StockLSTM,0.4915254237288136,-0.09516923575044951
WMT,StockSentimentRNN,0.5423728813559322,0.0960316402397931
XOM,StockRNN,0.5084745762711864,-0.14751385842355658
XOM,StockLSTM,0.5254237288135594,-0.05239477363283321
XOM,StockSentimentRNN,0.4576271186440678,-0.21900128366581903
